TEST_IMAGE,AMAZON_ASIN,THRESHOLD_5,THRESHOLD_10,THRESHOLD_15,THRESHOLD_20,THRESHOLD_25,THRESHOLD_30
immagine con coso O.jpg,B0CJHV55L1,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso O.jpg,B0GVBJC98Z,PASS,PASS,FAIL,FAIL,FAIL,FAIL (11 inliers)
immagine con coso O.jpg,B07DHR42N9,PASS,PASS,FAIL,FAIL,FAIL,FAIL (12 inliers)
immagine con coso O.jpg,B0F1MKF5YG,PASS,PASS,FAIL,FAIL,FAIL,FAIL (10 inliers)
immagine con coso O.jpg,B0100XYQPQ,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B09VC6SK2D,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso O.jpg,B00ZMDKEFG,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso O.jpg,B0CQF93L47,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B0CBVBMXFW,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso O.jpg,B0DNN9RSVY,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B0FKCS8RTT,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B0GXJXQ76R,PASS,PASS,PASS,FAIL,FAIL,FAIL (16 inliers)
immagine con coso O.jpg,B0GXF6XRHN,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso O.jpg,B0168S2Q4U,PASS,PASS,FAIL,FAIL,FAIL,FAIL (12 inliers)
immagine con coso O.jpg,B0H1RJ6YDT,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B0DTV698NB,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B0D44VW3D8,PASS,PASS,PASS,PASS,PASS,PASS (37 inliers)
immagine con coso O.jpg,B0B1DPZ8FL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B07MMSWVMN,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B0B61QN1SN,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (8 inliers)
immagine con coso O.jpg,B0FNQB2QLV,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B00JYTPBSE,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B0F7TGSFX3,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (9 inliers)
immagine con coso O.jpg,B0FB33QT8R,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B0GRGQZSWF,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (8 inliers)
immagine con coso O.jpg,B07Q72ZQGG,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B0DJ4ZQFF7,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (8 inliers)
immagine con coso O.jpg,B0BYTZ4YS7,PASS,PASS,FAIL,FAIL,FAIL,FAIL (10 inliers)
immagine con coso O.jpg,B0H4619HX9,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B0DHL469ND,PASS,PASS,PASS,PASS,FAIL,FAIL (20 inliers)
immagine con coso O.jpg,B0DFTKXGXV,PASS,PASS,FAIL,FAIL,FAIL,FAIL (14 inliers)
immagine con coso O.jpg,B0187EW73S,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B00ZMDN1HY,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B0GSW1VR8D,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B0BZPSBCRC,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B0FJ2718QF,PASS,PASS,FAIL,FAIL,FAIL,FAIL (14 inliers)
immagine con coso O.jpg,B0CKSQWQZ3,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso O.jpg,B0BB7JPJJG,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B082L3FK43,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B0F13VLR61,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B0FPQK1WWX,PASS,PASS,FAIL,FAIL,FAIL,FAIL (11 inliers)
immagine con coso O.jpg,B075CR7PFZ,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B07BDJTKF4,PASS,PASS,PASS,FAIL,FAIL,FAIL (18 inliers)
immagine con coso O.jpg,B0FWMQL74F,PASS,PASS,PASS,FAIL,FAIL,FAIL (19 inliers)
immagine con coso O.jpg,B07NLDJ5J7,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B01D1HCBZU,PASS,PASS,FAIL,FAIL,FAIL,FAIL (11 inliers)
immagine con coso O.jpg,B0BMM8Y5TR,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B0BYC5H737,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (9 inliers)
immagine con coso O.jpg,B0G3B3HWZL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B01GRWDRK4,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B0GFWKQNDV,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B07R78CYHC,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B0CSYZZXQW,PASS,PASS,PASS,FAIL,FAIL,FAIL (16 inliers)
immagine con coso O.jpg,B0DF29QLY7,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (9 inliers)
immagine con coso O.jpg,B0FPLGZQKB,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (9 inliers)
immagine con coso O.jpg,B0C77GYSVC,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B0D232CW51,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso X.jpg,B0GCZQ5B7G,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso X.jpg,B0FF4W7G1C,PASS,PASS,PASS,PASS,FAIL,FAIL (21 inliers)
immagine con coso X.jpg,B00ZMDBTD2,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso X.jpg,B0GVBJC98Z,PASS,PASS,PASS,PASS,FAIL,FAIL (20 inliers)
immagine con coso X.jpg,B0H1GV8LQ9,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso X.jpg,B07DHR42N9,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (9 inliers)
immagine con coso X.jpg,B0CBV3WRCB,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso X.jpg,B0DFWL1VWB,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso X.jpg,B07CMT6D44,PASS,PASS,PASS,PASS,PASS,PASS (34 inliers)
immagine con coso X.jpg,B07FGG4J2N,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso X.jpg,B0CYPZBKV7,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso X.jpg,B09L8GBFLZ,PASS,PASS,FAIL,FAIL,FAIL,FAIL (10 inliers)
immagine con coso X.jpg,B0167AI7SI,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso X.jpg,B00ZMDKEFG,PASS,PASS,PASS,PASS,PASS,FAIL (29 inliers)
immagine con coso X.jpg,B0C8KM6KYB,PASS,PASS,PASS,PASS,PASS,FAIL (26 inliers)
immagine con coso X.jpg,B0F4XF2VSJ,PASS,PASS,FAIL,FAIL,FAIL,FAIL (13 inliers)
immagine con coso X.jpg,B0CRYT4NMW,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso X.jpg,B0863Q8K7K,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso X.jpg,B0D971QXYX,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso X.jpg,B0BG4TG36Q,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (9 inliers)
immagine con coso X.jpg,B0CQF93L47,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso X.jpg,B0FKCS8RTT,PASS,PASS,PASS,PASS,PASS,PASS (31 inliers)
immagine con coso X.jpg,B0FJWBV67C,PASS,PASS,PASS,FAIL,FAIL,FAIL (17 inliers)
immagine con coso X.jpg,B0FHD44LZB,PASS,PASS,PASS,PASS,FAIL,FAIL (21 inliers)
immagine con coso X.jpg,B0CP287FJL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso X.jpg,B0GQLTSLG3,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso X.jpg,B0GXJXQ76R,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso X.jpg,B082Q1X6BB,PASS,PASS,FAIL,FAIL,FAIL,FAIL (12 inliers)
immagine con coso X.jpg,B0GXF6XRHN,PASS,PASS,PASS,FAIL,FAIL,FAIL (15 inliers)
immagine con coso X.jpg,B0168S2Q4U,PASS,PASS,PASS,FAIL,FAIL,FAIL (19 inliers)
immagine con coso X.jpg,B0H1RJ6YDT,PASS,PASS,PASS,PASS,PASS,PASS (63 inliers)
immagine con coso X.jpg,B0C141Q82D,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso X.jpg,B0H2F2CNB5,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso X.jpg,B0DTV698NB,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (8 inliers)
immagine con coso X.jpg,B0BHHYFVRF,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (8 inliers)
immagine con coso X.jpg,B0B1DPZ8FL,PASS,PASS,PASS,PASS,PASS,PASS (59 inliers)
immagine con coso X.jpg,B0DBLXX95Y,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso X.jpg,B0B61QN1SN,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (9 inliers)
immagine con coso X.jpg,B0FNQB2QLV,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso X.jpg,B00JZOYPTO,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso X.jpg,B0FBGC59GJ,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso X.jpg,B0F7TGSFX3,PASS,PASS,PASS,FAIL,FAIL,FAIL (19 inliers)
immagine con coso X.jpg,B0GLYPT3N2,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso X.jpg,B0FB33QT8R,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso X.jpg,B0F43F5X29,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (8 inliers)
immagine con coso X.jpg,B0G2WXGHNQ,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso X.jpg,B00B9EQTEW,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso X.jpg,B0GX1DJWZ7,PASS,PASS,FAIL,FAIL,FAIL,FAIL (11 inliers)
immagine con coso X.jpg,B0GRGQZSWF,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (8 inliers)
immagine con coso X.jpg,B0GC3TJG78,PASS,PASS,PASS,PASS,FAIL,FAIL (20 inliers)
immagine con coso X.jpg,B0DJ4ZQFF7,PASS,PASS,PASS,FAIL,FAIL,FAIL (16 inliers)
immagine con coso X.jpg,B0H1H4X128,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (9 inliers)
immagine con coso X.jpg,B07DWD39C3,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso X.jpg,B0BYTZ4YS7,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso X.jpg,B0BXLYFLCD,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso X.jpg,B0DHL469ND,PASS,PASS,PASS,PASS,PASS,FAIL (25 inliers)
immagine con coso X.jpg,B0GTYXKTHW,PASS,PASS,FAIL,FAIL,FAIL,FAIL (13 inliers)
immagine con coso X.jpg,B0BX33RXS3,PASS,PASS,FAIL,FAIL,FAIL,FAIL (13 inliers)
immagine con coso X.jpg,B01M0PNDD8,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso X.jpg,B0DFTKXGXV,PASS,PASS,PASS,PASS,PASS,FAIL (25 inliers)
immagine con coso X.jpg,B0DX1Z9JVT,PASS,PASS,PASS,PASS,PASS,FAIL (29 inliers)
